праздновали	праздновать	VERB	obj	др	др	NOUN	_	_	_	_	8.096743489768414	9
ждешь	ждать	VERB	mark	пока	пока	SCONJ	_	_	_	_	8.096743489768414	9
сидела	сидеть	VERB	obl	столом	стол	NOUN	case	за	за	ADP	8.096743489768414	9
говорят	говорить	VERB	obl	чем	что	PRON	case	о	о	ADP	8.096743489768414	9
орала	орать	VERB	nsubj	музыка	музыка	NOUN	_	_	_	_	8.096743489768414	9
знаю	знать	VERB	xcomp	назвать	назвать	VERB	_	_	_	_	8.096743489768414	9
шокирована	шокировать	VERB	aux:pass	была	быть	AUX	_	_	_	_	8.096743489768414	9
закончилось	закончиться	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
чувствуется	чувствовать	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
найти	найти	VERB	obj	местечко	местечко	NOUN	_	_	_	_	8.096743489768414	9
соответствует	соответствовать	VERB	nsubj	меню	меню	NOUN	_	_	_	_	8.096743489768414	9
обратить	обратить	VERB	obl	что	что	PRON	case	на	на	ADP	8.096743489768414	9
ставлю	ставить	VERB	nummod	8	8	NUM	_	_	_	_	8.096743489768414	9
приедем	приехать	VERB	advmod	еще	еще	ADV	_	_	_	_	8.096743489768414	9
подошли	подойти	VERB	advmod	потом	потом	ADV	_	_	_	_	8.096743489768414	9
было	быть	VERB	parataxis	конечно	конечно	ADV	_	_	_	_	8.096743489768414	9
встречают	встречать	VERB	obj	тебя	ты	PRON	_	_	_	_	8.096743489768414	9
нет	нет	VERB	advcl	касается	касаться	VERB	_	_	_	_	8.096743489768414	9
верить	верить	VERB	mark	если	если	SCONJ	_	_	_	_	8.096743489768414	9
говорю	говорить	VERB	cc	а	а	CCONJ	_	_	_	_	8.096743489768414	9
работают	работать	VERB	advmod	где	где	ADV	_	_	_	_	8.096743489768414	9
ходим	ходить	VERB	obl	мужем	муж	NOUN	case	с	с	ADP	8.096743489768414	9
проходила	проходить	VERB	advmod	мимо	мимо	ADV	_	_	_	_	8.096743489768414	9
могут	мочь	VERB	nsubj	люди	человек	NOUN	_	_	_	_	8.096743489768414	9
нет	нет	VERB	nsubj	времени	время	NOUN	_	_	_	_	8.096743489768414	9
оставляли	оставлять	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
становится	становиться	VERB	mark	что	что	SCONJ	_	_	_	_	8.096743489768414	9
берут	брать	VERB	advmod	где	где	ADV	_	_	_	_	8.096743489768414	9
оторвать	отрыть	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
стояло	стоять	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
меняется	меняться	VERB	mark	что	что	SCONJ	_	_	_	_	8.096743489768414	9
удалось	удаться	VERB	xcomp	попробовать	пробовать	VERB	_	_	_	_	8.096743489768414	9
увидел	видеть	VERB	mark	что	что	SCONJ	_	_	_	_	8.096743489768414	9
могло	мочь	VERB	xcomp	радовать	радовать	VERB	_	_	_	_	8.096743489768414	9
оставят	оставить	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
знает	знать	VERB	obj	дело	дело	NOUN	_	_	_	_	8.096743489768414	9
есть	быть	VERB	det	каждого	каждый	DET	case	у	у	ADP	8.096743489768414	9
берут	брать	VERB	nsubj	они	они	PRON	_	_	_	_	8.096743489768414	9
поговорить	говорить	VERB	obl	чем	что	PRON	case	о	о	ADP	8.096743489768414	9
видеть	видеть	VERB	obj	это	это	PRON	_	_	_	_	8.096743489768414	9
поесть	поесть	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
могу	мочь	VERB	obl	кухне	кухня	NOUN	case	по	по	ADP	8.096743489768414	9
находился	находиться	VERB	nsubj	столик	столик	NOUN	_	_	_	_	8.096743489768414	9
вписывается	вписываться	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
приносят	приносить	VERB	advmod	долго	долго	ADV	_	_	_	_	8.096743489768414	9
поесть	поесть	VERB	advmod	быстро	быстро	ADV	_	_	_	_	8.096743489768414	9
есть	быть	VERB	parataxis	может	мочь	VERB	_	_	_	_	8.096743489768414	9
мог	мочь	VERB	cc	а	а	CCONJ	_	_	_	_	8.096743489768414	9
убиралась	убирать	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
представляло	представлять	VERB	fixed	собой	себя	PRON	_	_	_	_	8.096743489768414	9
смотрела	смотреть	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
пахло	пахнуть	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
принесли	принести	VERB	nsubj	которые	который	PRON	_	_	_	_	8.096743489768414	9
ходил	ходить	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
зашел	зайти	VERB	advmod	сегодня	сегодня	ADV	_	_	_	_	8.096743489768414	9
бывало	бывать	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
съела	съесть	VERB	aux	бы	бы	AUX	_	_	_	_	8.096743489768414	9
знала	знать	VERB	nsubj	официантка	официантка	NOUN	_	_	_	_	8.096743489768414	9
поехать	поехать	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
было	быть	VERB	nsubj	столика	столик	NOUN	_	_	_	_	8.096743489768414	9
понравился	понравиться	VERB	advmod	вообще	вообще	ADV	_	_	_	_	8.096743489768414	9
сидели	сидеть	VERB	aux	бы	бы	AUX	_	_	_	_	8.096743489768414	9
выпить	выпить	VERB	mark	если	если	SCONJ	_	_	_	_	8.096743489768414	9
удалось	удаться	VERB	csubj	обнаружить	обнаружить	VERB	_	_	_	_	8.096743489768414	9
поленитесь	полениться	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
хочется	хотеться	VERB	xcomp	ходить	ходить	VERB	_	_	_	_	8.096743489768414	9
ушли	уйти	VERB	advmod	и	и	PART	_	_	_	_	8.096743489768414	9
советуем	советуе	VERB	iobj	всем	весь	PRON	_	_	_	_	8.096743489768414	9
экспериментировать	экспериментировать	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
принесли	принести	VERB	obl	результате	результат	NOUN	case	в	в	ADP	8.096743489768414	9
подавали	подавать	VERB	advmod	не	не	PART	_	_	_	_	8.096743489768414	9
танцевали	танцевать	VERB	nsubj	мы	мы	PRON	_	_	_	_	8.096743489768414	9
понравилось	понравиться	VERB	iobj	кому	кто	PRON	_	_	_	_	8.096743489768414	9
зашли	зайти	VERB	obl	ресторанчик	ресторанчик	NOUN	case	в	в	ADP	8.096743489768414	9
подали	подать	VERB	obj	горячее	горячий	NOUN	_	_	_	_	8.096743489768414	9
удивило	удивить	VERB	cc	но	но	CCONJ	_	_	_	_	8.096743489768414	9
собрали	собрать	VERB	obj	еду	еда	NOUN	_	_	_	_	8.096743489768414	9
есть	быть	VERB	nsubj	пицца	пицца	NOUN	_	_	_	_	8.096743489768414	9
порадовала	порадовать	VERB	nsubj	кухня	кухня	PROPN	_	_	_	_	8.096743489768414	9
предложил	предложить	VERB	nsubj	администратор	администратор	NOUN	_	_	_	_	8.096743489768414	9
хочется	хотеться	VERB	xcomp	говорить	говорить	VERB	_	_	_	_	8.096743489768414	9
приходить	приходить	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
пришли	прийти	VERB	obl	пятницу	пятница	NOUN	case	в	в	ADP	8.096743489768414	9
пришли	прийти	VERB	conj	было	быть	VERB	_	_	_	_	8.096743489768414	9
праздновали	праздновать	VERB	nsubj	года	год	NOUN	_	_	_	_	8.096743489768414	9
проводят	проводить	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
ужинали	ужинать	VERB	obl	ресторане	ресторан	NOUN	case	в	в	ADP	8.096743489768414	9
несут	нести	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
брать	брать	VERB	advmod	лучше	хорошо	ADV	_	_	_	_	8.096743489768414	9
побывали	побывать	VERB	obl	заведении	заведение	NOUN	case	в	в	ADP	8.096743489768414	9
отведала	отведать	VERB	nsubj	я	я	PRON	_	_	_	_	8.096743489768414	9
прошел	пройти	VERB	obl	ура	ур	NOUN	case	на	на	ADP	8.096743489768414	9
присесть	присесть	VERB	obl	столик	столик	NOUN	case	за	за	ADP	8.096743489768414	9
слышу	слышать	VERB	nsubj	я	я	PRON	_	_	_	_	8.096743489768414	9
пошла	пойти	VERB	cc	а	а	CCONJ	_	_	_	_	8.096743489768414	9
нет	нет	VERB	csubj	говорить	говорить	VERB	_	_	_	_	8.096743489768414	9
обошлось	обойтись	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
понимаю	понимать	VERB	advmod	теперь	теперь	ADV	_	_	_	_	8.096743489768414	9
звать	звать	VERB	obj	официанта	официант	NOUN	_	_	_	_	8.096743489768414	9
выглядит	выглядеть	VERB	advmod	симпатично	симпатично	ADV	_	_	_	_	8.096743489768414	9
закрываются	закрываться	VERB	nsubj	они	они	PRON	_	_	_	_	8.096743489768414	9
вызвал	вызвать	VERB	cc	и	и	CCONJ	_	_	_	_	8.096743489768414	9
входит	входить	VERB	obl	состав	состав	NOUN	case	в	в	ADP	8.096743489768414	9
пришла	прийти	VERB	advmod	тут	тут	ADV	_	_	_	_	8.096743489768414	9
хотите	хотеть	VERB	advmod	вкусно	вкусно	ADV	_	_	_	_	8.096743489768414	9
